length,mean_nwidth,stdev_nwidth,mean_ndepth,stdev_ndepth,mean_balanced2,stdev_balanced2,mean_width,stdev_width,mean_depth,stdev_depth,mean_navdepth,stdev_navdepth,mean_avdepth,stdev_avdepth
1,1.0,0.0,1.0,0.10228190785940672,1.671938775510204,0.47785481136152413,1.0,0.0,3.1146258503401358,0.31856987424101607,1.0,0.10228190785940672,3.1146258503401358,0.31856987424101607
2,1.0,0.033845116674107154,1.0,0.14997359242476599,2.0179994380443937,0.06608988905115469,1.3019145292283811,0.044063449141449884,3.3611688676594551,0.50408656982917155,0.99999999999999978,0.099550954109147535,3.2083450407417815,0.31939380991719618
3,1.0000000000000002,0.051358503193402245,1.0,0.2021875326169382,1.9256191277290342,0.12620556484133183,1.3453693388691481,0.069096155486616614,4.4694370313889946,0.90366444556331382,0.99999999999999978,0.15155618980460123,3.9048163680264327,0.5917990906247278
4,1.0000000000000004,0.039181286299206503,1.0000000000000002,0.17524053622045085,1.8874076678092955,0.11390919397034764,1.3847101945418057,0.054254726573772422,4.9209714209043343,0.86235367052478951,1.0,0.13112210600605603,4.1533610626593322,0.54459744953944256
5,1.0,0.039513809319840165,0.99999999999999989,0.19112437297586501,1.8977652774589795,0.10551220618936462,1.4115567370654309,0.055775983752539199,5.5116701607267649,1.0534145035186882,1.0,0.14522113803044859,4.4566317260656882,0.64719713104186161
6,1.0,0.038882148692527048,1.0,0.201883392620991,1.822331069346852,0.095867153652196377,1.4271499535138588,0.055490656699058907,6.1211355529131986,1.2357556121150821,0.99999999999999989,0.15441701771707514,4.7698919936583435,0.73655249649327537
7,1.0,0.038426907933674349,1.0,0.20982143559850827,1.8587703271382128,0.11117533916084604,1.4371690040400669,0.0552259610033781,6.7172897196261685,1.4094313723030638,1.0,0.16017092648482686,5.0751239748235744,0.81288730907284901
8,1.0000000000000002,0.0370638635156883,1.0,0.21517422470844633,1.8114215832088347,0.10407330570988581,1.4417755772398004,0.053437773215068672,7.330866025166543,1.5774134134067002,1.0,0.16517808641367021,5.3832809030347892,0.88920003819054094
9,1.0000000000000002,0.036369274666769737,1.0,0.21924631590496016,1.7949174500309752,0.10908536964005941,1.4456602397823275,0.052577614335471645,7.9371970495258166,1.740201211720255,1.0,0.17093723715234516,5.6942512586348206,0.97335957780230031
10,1.0000000000000004,0.034604017496454947,1.0,0.21870626478874688,1.8410644573195345,0.12231164959957716,1.4501419238631803,0.050180736505704301,8.4316197866149363,1.8440480696494439,1.0,0.17579388984464955,5.9633123181377305,1.0483138687639459
11,1.0000000000000002,0.033806732415505372,0.99999999999999989,0.22972398281794668,1.8613191607571005,0.13809852050456234,1.4515259798756934,0.049071350395811807,8.9098925323780662,2.0468159990177703,1.0,0.18357961565077843,6.2015080538089631,1.1384704649734565
12,1.0,0.033229623205394195,1.0,0.2344995809903592,1.832207803393749,0.12655319134196064,1.4537677617588529,0.048308154951395968,9.4934230651575398,2.2262037309436549,1.0,0.19249907298129315,6.5034159273987964,1.2519015372360451
13,1.0,0.032476977292223978,1.0,0.23196917488213809,1.8012046659567031,0.13924262704013926,1.456729266437149,0.047310163306997409,9.8537839823659077,2.2857741398562483,1.0,0.19340027017185207,6.6665913072966712,1.2893205599564967
14,1.0,0.030749666155220741,1.0,0.24618239477945267,1.7943950876563231,0.14070482009165197,1.4602208905559013,0.044901304897473106,10.186152570480928,2.5076514333898721,1.0,0.20281428231898579,6.829690831556503,1.3851588444626894
15,1.0,0.031464957584258664,1.0,0.24646250127595859,1.7507729031756665,0.14102801654616962,1.4616172932757634,0.045989726137340856,10.657407407407407,2.6266512867465588,1.0,0.20694034255107385,7.0520987654320981,1.4593637342225234
16,0.99999999999999989,0.031409391881256146,1.0,0.24635284978694624,1.7211946255645811,0.13643693008380328,1.4629578002820025,0.045950614854797886,11.039832285115304,2.7196941446080904,1.0,0.20773963348531529,7.2464622641509431,1.5053774148198851
17,1.0000000000000002,0.027359844762261842,1.0000000000000002,0.23645043895613241,1.9175454446019218,0.18533733576914718,1.4612586934609293,0.039979811010596597,11.387601390498261,2.692603347440778,1.0,0.20380856720997384,7.3928157589803014,1.5067191874850905
18,0.99999999999999967,0.028703270158617938,1.0,0.24774211557220979,1.8445420741500098,0.16235570787658704,1.4633843573526042,0.042003916554987288,11.967699406723797,2.9649031695540331,1.0,0.21445670570926648,7.6857833443199297,1.6482677768180012
19,1.0,0.027455293200193281,1.0,0.25951372185829014,1.8268036211424938,0.15157021992571829,1.4644699359344027,0.040207451473947282,12.307295504789979,3.1939120624578514,1.0,0.22192758191365189,7.811270992514447,1.7335364830409827
20,1.0000000000000004,0.030400231267971169,1.0,0.2606021295638094,1.7320418262806732,0.14608896727134105,1.4643628908715454,0.044516970542729767,12.546961325966851,3.2697648411017193,1.0,0.22117487118734966,7.9715864246250989,1.7631146006252814
21,1.0,0.025438313953926359,1.0,0.24485727029784327,1.8869071562923472,0.19116098765453626,1.4684183635976,0.037354087348906516,12.668727915194346,3.1020301354605744,1.0,0.21150998757625536,7.9817011610297826,1.6882095134067923
22,1.0,0.027398331463283226,1.0,0.26767376146918659,1.7676936570144361,0.19544897407191544,1.4688244166449897,0.04024333822860305,12.967619047619047,3.4710913677756614,1.0,0.23442592858902456,8.1538095238095245,1.9114643691570801
23,0.99999999999999989,0.024480963771752358,0.99999999999999989,0.25137696242039942,2.0020901334804875,0.2243188925674354,1.4673215701097089,0.035921446199366554,13.607476635514018,3.4206061428420704,1.0,0.21059092659434051,8.3895435459840169,1.7667617490523435
24,1.0,0.026022768959363153,0.99999999999999989,0.26930846126198132,1.7782597330268721,0.18207730552342846,1.4706675328345551,0.038270841422990275,13.925507900677202,3.750257105022941,0.99999999999999989,0.23320210289176105,8.5567626034612498,1.9954550330727436
25,1.0,0.023283890007777724,1.0,0.24715482220655874,1.860376556291655,0.21175155156710454,1.4686788173456764,0.034196556039829788,14.058227848101266,3.4745588043367617,0.99999999999999989,0.21772960587651474,8.662886075949368,1.8861667710696035
26,1.0,0.022534606435094716,1.0,0.25864907012550908,1.8153414453441694,0.22393269899205664,1.4644782933666582,0.033001441973756832,14.698191933240611,3.8016736760589431,0.99999999999999989,0.23178475368888904,8.8474911736386019,2.0507135624464432
27,1.0,0.02483916079140908,1.0,0.26877672208008885,1.9038130275725378,0.18527333522860912,1.4676060317741393,0.03645410220167964,14.767988252569751,3.969291474242957,1.0,0.22932407258021884,8.97655952575189,2.0585411882041811
28,1.0,0.025059293095337224,1.0,0.29001360633045048,1.7602282562198528,0.19346888765594319,1.4688997154049142,0.036809588495989198,15.068965517241379,4.3702050333243747,1.0,0.25197855813032338,9.2177004030452299,2.3226628568366374
29,1.0,0.02559928514596892,1.0,0.26830723608580437,1.8284803408545174,0.21499320926282153,1.4691290606585787,0.037608653740028405,15.582437275985663,4.1808806770001237,1.0,0.23676761963548212,9.4430231120998638,2.2358021044147276
30,1.0,0.02075260922817106,1.0000000000000002,0.24685927416121622,2.0490426866799698,0.26087267261288027,1.4702181237762759,0.030510862202903857,15.239495798319327,3.7620108713560136,1.0,0.22491937506615059,9.155252100840336,2.0591935810940702
31,1.0000000000000002,0.023773511280961373,1.0000000000000002,0.25971373068537484,1.9961293562447984,0.26839803206439772,1.4727302426944573,0.035011969038509658,16.217391304347824,4.2118791976367307,1.0,0.23288908912708986,9.6063335055731898,2.2372102599639847
32,1.0,0.021279969283917149,1.0,0.24136526101460201,1.9198991101516931,0.2389555513877081,1.4713314818591885,0.031309888740423862,16.222680412371133,3.91559149208843,1.0,0.21013501647379063,9.6441365979381448,2.0265708028832194
33,0.99999999999999989,0.023038163961306247,1.0,0.25970564704531096,1.9645469721648432,0.23065716334463279,1.4736426057369545,0.033950019971334497,16.029333333333334,4.1629083850383042,1.0,0.24694263492388296,9.711030303030304,2.398067410855977
34,1.0,0.032349158993320901,1.0,0.28395784679694103,1.6552270871176735,0.16384257581930753,1.4744490468007436,0.047697186642507695,16.304461942257216,4.6297799063060303,1.0,0.25162469546495864,9.5487880191446664,2.4027108773767223
35,1.0,0.021104619176919477,1.0,0.26597964202990654,1.9517723182855191,0.2271864811181899,1.4766162603723996,0.031163423845606469,16.73103448275862,4.4501145625141598,1.0,0.24787200135549461,9.9089655172413789,2.4561551141212044
36,1.0,0.020073219265497613,0.99999999999999978,0.23006612009773694,1.9034369593003559,0.2648950072017166,1.4761495650127925,0.029631073887170706,16.680851063829788,3.8376986841835272,1.0,0.22319618500354207,9.9635258358662622,2.2238209557495776
37,1.0,0.020581127957309937,1.0,0.28907826427558092,2.000040569737263,0.25626205302625199,1.4705268557009774,0.030265101381842463,18.745173745173744,5.4188222897990164,1.0,0.25642012182932733,10.786288218720651,2.7658213391305875
38,1.0,0.024797473987627907,1.0,0.30181819532087023,1.8748351174013747,0.22140014905322461,1.4771917590636037,0.036630624220118022,17.047619047619047,5.1452816154700738,1.0,0.26746587815796374,10.115646258503402,2.7055902096659326
39,1.0000000000000002,0.020047332327839753,1.0,0.26352897031161548,2.0938471067700117,0.2547064077925521,1.4754162387272358,0.029578159659656274,17.19927536231884,4.5325073263378215,1.0000000000000004,0.22653258454050265,10.136194723151243,2.2961783880412558
40,0.99999999999999978,0.022287251911078349,0.99999999999999989,0.2739070419937788,1.998521329076435,0.26943943445765173,1.4781607305684075,0.032944140567241743,18.209756097560977,4.9877804281111038,0.99999999999999978,0.26829445814622438,10.533414634146345,2.8260567716978038
41,1.0,0.021410018656579669,1.0,0.28137282749323445,1.8106698469477487,0.21537260420227772,1.4723176803410749,0.031522349004514512,18.668032786885245,5.2526771689823066,0.99999999999999989,0.23573471379940977,10.526089564174331,2.4813647108375898
42,1.0,0.017376728040657562,1.0000000000000002,0.2679799661425652,1.7756028914343338,0.23345251703924658,1.4737102237237267,0.025608261768383822,18.517766497461928,4.9623904390257758,0.99999999999999967,0.27354259592534491,10.71899927483684,2.9321028873607586
43,1.0000000000000002,0.022364214825168691,1.0,0.26683321609406546,2.0454406370530291,0.29530095232382769,1.474241950988284,0.032970263696177789,17.961956521739129,4.7928466260374254,1.0000000000000002,0.23713838252511005,10.395601617795752,2.4651961530195017
44,0.99999999999999967,0.016932777921329509,1.0,0.28717354477922008,1.9921725005021198,0.28897472488035253,1.4772921822396945,0.025014660446781023,17.594999999999999,5.0528185203903773,0.99999999999999989,0.25553498131947316,10.358068181818183,2.6468487593467396
45,1.0,0.01774132232753934,1.0,0.27140412763347149,2.0173525248039579,0.4224325257955524,1.4776608554347557,0.026215657527055493,17.773333333333333,4.8237560284722347,0.99999999999999978,0.27684247959159719,10.281481481481483,2.8463508272084224
46,0.99999999999999978,0.019582353912188585,1.0000000000000002,0.23772003246849258,2.073182696387716,0.27042998131187562,1.4827911539951395,0.029036541155395355,19.270588235294117,4.5810048609810678,1.0,0.22003115476582052,11.097826086956522,2.4418674893032906
47,1.0,0.015868326257974043,1.0,0.20493441452279998,2.0099241546634414,0.28087187998233226,1.4713422669042235,0.023347739128383369,19.261194029850746,3.9472815215175125,1.0,0.2061052592315655,10.860273102572245,2.2383594031312506
48,1.0,0.016639768238336284,1.0,0.23699823656007182,1.9853840539692165,0.28317668150328923,1.4722015564899222,0.024497092700110263,19.712418300653596,4.6718083755893902,1.0,0.21026199732403317,10.780092592592592,2.2666437998565332
49,1.0000000000000002,0.016409804821322989,1.0,0.26593554824403243,1.9518503379451384,0.29959730458217959,1.4736149998676091,0.024181734529601377,19.527999999999999,5.1931893861094647,1.0000000000000002,0.27749758066468172,11.230040816326529,3.1163091572962394
50,1.0,0.015652023381563185,1.0000000000000002,0.24597371394311235,2.0146498349120092,0.34210730664862837,1.4738068600695733,0.023068059433717175,21.098039215686274,5.189563062799782,0.99999999999999944,0.23825580067036231,12.14196078431373,2.8928925883748078
51,1.0,0.020361253577821484,1.0000000000000002,0.2104027017654759,2.2414479056447276,0.41452576135249164,1.4717212160622184,0.029966088876102651,18.202531645569621,3.829861837199422,0.99999999999999967,0.19333107443591913,10.497393894266567,2.0294724403556126
52,1.0,0.01567462209985512,1.0,0.33562416360821323,1.7445918192571643,0.24623985425963815,1.4724066895600771,0.023079418436152892,19.778625954198475,6.6381847931975617,0.99999999999999978,0.30603092359934581,11.217410452143278,3.4328744810623624
53,0.99999999999999967,0.015208282400434326,0.99999999999999978,0.25855339909990943,1.9581139008245714,0.33859395449889351,1.4700473808467731,0.022356895709936559,19.870588235294118,5.1376081303499639,1.0000000000000002,0.25090039644376982,11.205771365149833,2.8115324779743363
54,1.0000000000000002,0.016114620111821142,1.0,0.31338860263906287,1.9746466839522401,0.24903178021838213,1.4768232788751141,0.023798446111366525,23.574257425742573,7.3879035929070183,0.99999999999999989,0.33094296369501258,12.679684635130181,4.1962524118680964
55,1.0000000000000002,0.02019862976570657,0.99999999999999978,0.2619100207818148,2.1691155650943124,0.21799601206596469,1.4853410358312347,0.030001853658566186,19.296296296296298,5.0538933639750185,1.0,0.27219683008422318,11.195061728395062,3.0472603150663415
56,1.0,0.013981830896463661,1.0,0.27248603849204989,2.0811022689904086,0.2177168218469982,1.4785547368141063,0.020672902301300183,19.987500000000001,5.4463146943598479,1.0,0.24437297015429005,11.323660714285714,2.7671966017694496
57,1.0000000000000002,0.013294339077591845,1.0000000000000002,0.23417330768157807,1.8086541106182339,0.26672374253810277,1.4738717106167705,0.019594150277809665,19.969999999999999,4.6764409544011132,1.0,0.19796341726098377,11.163508771929823,2.2099663451141955
58,1.0000000000000004,0.018964768158936069,1.0,0.28121282647514684,2.0854414264744916,0.49544335712974524,1.4775949508724757,0.028022245676111047,20.790909090909089,5.8466703104423674,1.0000000000000004,0.25188063427242419,11.499999999999998,2.8966272941328772
59,1.0000000000000004,0.02420151020761583,1.0000000000000002,0.27120805863333369,2.0795034051039329,0.49311757217112245,1.477522805069295,0.035758283248869746,23.377358490566039,6.3401280122018946,0.99999999999999989,0.20084172789100377,11.847137831787654,2.3793996326991125
60,1.0,0.10906763380431227,1.0,0.4858723492903837,1.8295209038431193,0.28061057181344862,1.5622154647746407,0.17038714423547402,18.415384615384614,8.9475261861629107,1.0,0.51737425081000876,11.774102564102563,6.0916174930627669
61,1.0,0.017818157999197979,1.0,0.21512043474233933,2.3317449357133904,0.57801266527473172,1.4926663902959703,0.026596565582386114,18.5,3.979728042733278,0.99999999999999978,0.22346407940119903,10.561234329797495,2.3600565068485362
62,1.0,0.020821140083484072,1.0000000000000002,0.27029552323038097,2.1460617034215259,0.36908357326801028,1.4815672437217235,0.030847919124631411,23.966666666666665,6.4780827067547966,1.0000000000000004,0.15034748950611834,11.950537634408597,1.7967333315817187
